CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
8f98a7d4a163a91575437b33a838c83845109e65,2011-09-08 18:02:56-07:00,MODIFY,org.jenkins-ci.plugins,javadoc,1.0-SNAPSHOT,5,0,1
3320d79c832c5d88adfeba2ba21366cc65a2d3c5,2011-09-19 17:03:45-07:00,MODIFY,org.jenkins-ci.plugins,javadoc,1.0,1,1,1
482581f574ffc583d490805b3a139cdd96a4fbee,2021-01-20 09:20:05+10:00,MODIFY,org.jenkins-ci.plugins,javadoc,1.6,1,1,1
10b68f64fdd3d71b717e913219723a1823f1b390,2011-05-22 12:09:29+02:00,MODIFY,junit,junit,4.8.2,74,1,3
c16fc54f2a58cd5c5e82e944fcf4452e7c6a0746,2011-10-08 17:00:13+02:00,MODIFY,junit,junit,4.10,4,4,1
0dba5d2be81cf061b217da09e1d7898be8f693de,2011-10-10 22:19:43+02:00,MODIFY,junit,junit,None,3,5,1
c5d630a877a13298d8fddbdd4ce170162803a528,2013-10-03 18:32:41-07:00,MODIFY,junit,junit,4.11,10,26,1
c5223dea3ec253d24e76f1939501a1a80cfad348,2015-06-15 13:52:58-04:00,MODIFY,org.jenkins-ci.plugins,junit,1.6,12,19,3
facb6019e3ae2f1aea9de0a1b43be1d0c52db6a8,2020-05-21 16:13:18+10:00,MODIFY,junit,junit,4.13,134,177,33
a231f8eb943227ca0949aad0dd43eaad53589fe9,2020-10-08 07:42:16+10:00,MODIFY,org.jenkins-ci.plugins,junit,1.37,57,26,3
1ca7a88e6052423ee0459c2b89762fa620a33610,2011-03-15 22:51:21+01:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.0,49,12,2
461d2dd6fad6d065e80387d4c1ba1676f687b64d,2011-03-17 22:00:14+01:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.1,2,2,2
157c14a2859fb2886476afa09674d5c7dd232a71,2011-04-18 23:25:54+02:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.2,8,2,3
dc9972026956bc7fbb598185ac5107c58618fc50,2013-06-07 10:58:10+03:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.3-SNAPSHOT,9,9,1
6cdc1cdf9ee3ee85dca46e3ac260247098ff7f0f,2013-06-07 10:58:11+03:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.3,297,89,10
1464e379e8f45153b40701160cbc481f25422a9c,2013-07-19 23:24:06+10:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.4-SNAPSHOT,23,130,5
95a6d8232a460bd9fa046628eb39245a240df3a7,2013-07-23 22:36:27+10:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.4,1,1,1
dae6ef31fc5152d65f5543f61f1c911fcb0dbd38,2014-03-01 11:53:07+01:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.5,1,1,1
155e2a1b61721311414edb53dcf41c619729a517,2014-11-13 17:36:56+00:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.6-SNAPSHOT,147,7,5
94a6ab84a77f0b93b87de6fd50225fb9829fe456,2014-11-14 10:30:05+11:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.6,1,1,1
a30fe29cc919afbd6650371cb995050ebdfef26a,2015-08-18 10:41:31+02:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.7-SNAPSHOT,73,12,3
fde3de7a77df9d68b04615d5518b9275f08e3fa6,2015-08-18 12:47:16+02:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.7,1,1,1
978d4fbb29402b600eccce24e46f49f240d1197e,2016-07-28 20:13:53+02:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.8-SNAPSHOT,137,8,5
2ba218bda274cb5d5b561aeada8678d52bd7c26d,2016-10-16 22:33:27+02:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.8.1,1,1,1
9addffc853ab178bc280ef5cecb1f4e6a07d0fe9,2017-04-11 14:03:13-04:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.9-SNAPSHOT,135,10,5
8c27432c1886ab628510088f08170fba9e9e2b89,2017-06-07 11:59:06+10:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.10-SNAPSHOT,1,1,1
3de96fb3484a62a787f8b25a49eaa71781f024d7,2017-06-07 12:17:57+10:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.11-SNAPSHOT,1,1,1
841c1a0dd4351a9a904148a82d73bfe3a9a8bd69,2017-06-08 21:16:13+10:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.11,1,1,1
4826ae7bc381d3d10abefdd1e23864020e548422,2017-08-15 17:21:15+02:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.12-SNAPSHOT,61,34,1
21662c03e39b3e673df2f17a9baa323da96a8454,2017-09-15 15:27:53+02:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.12-alpha-1,1,1,1
d466d45ca6bc5e02d733ed6033963fe6721cf036,2018-11-29 12:27:56+10:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.12,100,132,29
ec56e062211ed4419b67957b51bf4460b70172f6,2019-06-14 17:30:49+10:00,MODIFY,org.jenkins-ci.main.maven,maven-agent,1.13,477,253,18
1ca7a88e6052423ee0459c2b89762fa620a33610,2011-03-15 22:51:21+01:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.0,49,12,2
461d2dd6fad6d065e80387d4c1ba1676f687b64d,2011-03-17 22:00:14+01:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.1,2,2,2
157c14a2859fb2886476afa09674d5c7dd232a71,2011-04-18 23:25:54+02:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.2,8,2,3
dc9972026956bc7fbb598185ac5107c58618fc50,2013-06-07 10:58:10+03:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.3-SNAPSHOT,9,9,1
6cdc1cdf9ee3ee85dca46e3ac260247098ff7f0f,2013-06-07 10:58:11+03:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.3,297,89,10
1464e379e8f45153b40701160cbc481f25422a9c,2013-07-19 23:24:06+10:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.4-SNAPSHOT,23,130,5
95a6d8232a460bd9fa046628eb39245a240df3a7,2013-07-23 22:36:27+10:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.4,1,1,1
dae6ef31fc5152d65f5543f61f1c911fcb0dbd38,2014-03-01 11:53:07+01:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.5,1,1,1
155e2a1b61721311414edb53dcf41c619729a517,2014-11-13 17:36:56+00:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.6-SNAPSHOT,147,7,5
94a6ab84a77f0b93b87de6fd50225fb9829fe456,2014-11-14 10:30:05+11:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.6,1,1,1
a30fe29cc919afbd6650371cb995050ebdfef26a,2015-08-18 10:41:31+02:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.7-SNAPSHOT,73,12,3
fde3de7a77df9d68b04615d5518b9275f08e3fa6,2015-08-18 12:47:16+02:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.7,1,1,1
978d4fbb29402b600eccce24e46f49f240d1197e,2016-07-28 20:13:53+02:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.8-SNAPSHOT,137,8,5
2ba218bda274cb5d5b561aeada8678d52bd7c26d,2016-10-16 22:33:27+02:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.8.1,1,1,1
9addffc853ab178bc280ef5cecb1f4e6a07d0fe9,2017-04-11 14:03:13-04:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.9-SNAPSHOT,135,10,5
8c27432c1886ab628510088f08170fba9e9e2b89,2017-06-07 11:59:06+10:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.10-SNAPSHOT,1,1,1
3de96fb3484a62a787f8b25a49eaa71781f024d7,2017-06-07 12:17:57+10:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.11-SNAPSHOT,1,1,1
841c1a0dd4351a9a904148a82d73bfe3a9a8bd69,2017-06-08 21:16:13+10:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.11,1,1,1
4826ae7bc381d3d10abefdd1e23864020e548422,2017-08-15 17:21:15+02:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.12-SNAPSHOT,61,34,1
21662c03e39b3e673df2f17a9baa323da96a8454,2017-09-15 15:27:53+02:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.12-alpha-1,1,1,1
d466d45ca6bc5e02d733ed6033963fe6721cf036,2018-11-29 12:27:56+10:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.12,100,132,29
ec56e062211ed4419b67957b51bf4460b70172f6,2019-06-14 17:30:49+10:00,MODIFY,org.jenkins-ci.main.maven,maven-interceptor,1.13,477,253,18
5fcffe56ba4524dc73e2404ec715624eb8001cdf,2009-05-13 06:17:30+00:00,MODIFY,org.jvnet.hudson,maven2.1-interceptor,1.0,21,2,3
8828727247daded27c35c5bb3d6f04ecef9d47d2,2009-05-15 21:23:03+00:00,MODIFY,org.jvnet.hudson,maven2.1-interceptor,1.1,30,3,2
1ca7a88e6052423ee0459c2b89762fa620a33610,2011-03-15 22:51:21+01:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.0,49,12,2
461d2dd6fad6d065e80387d4c1ba1676f687b64d,2011-03-17 22:00:14+01:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.1,2,2,2
157c14a2859fb2886476afa09674d5c7dd232a71,2011-04-18 23:25:54+02:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.2,8,2,3
dc9972026956bc7fbb598185ac5107c58618fc50,2013-06-07 10:58:10+03:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.3-SNAPSHOT,9,9,1
6cdc1cdf9ee3ee85dca46e3ac260247098ff7f0f,2013-06-07 10:58:11+03:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.3,297,89,10
1464e379e8f45153b40701160cbc481f25422a9c,2013-07-19 23:24:06+10:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.4-SNAPSHOT,23,130,5
95a6d8232a460bd9fa046628eb39245a240df3a7,2013-07-23 22:36:27+10:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.4,1,1,1
dae6ef31fc5152d65f5543f61f1c911fcb0dbd38,2014-03-01 11:53:07+01:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.5,1,1,1
155e2a1b61721311414edb53dcf41c619729a517,2014-11-13 17:36:56+00:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.6-SNAPSHOT,147,7,5
94a6ab84a77f0b93b87de6fd50225fb9829fe456,2014-11-14 10:30:05+11:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.6,1,1,1
a30fe29cc919afbd6650371cb995050ebdfef26a,2015-08-18 10:41:31+02:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.7-SNAPSHOT,73,12,3
fde3de7a77df9d68b04615d5518b9275f08e3fa6,2015-08-18 12:47:16+02:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.7,1,1,1
978d4fbb29402b600eccce24e46f49f240d1197e,2016-07-28 20:13:53+02:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.8-SNAPSHOT,137,8,5
2ba218bda274cb5d5b561aeada8678d52bd7c26d,2016-10-16 22:33:27+02:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.8.1,1,1,1
9addffc853ab178bc280ef5cecb1f4e6a07d0fe9,2017-04-11 14:03:13-04:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.9-SNAPSHOT,135,10,5
8c27432c1886ab628510088f08170fba9e9e2b89,2017-06-07 11:59:06+10:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.10-SNAPSHOT,1,1,1
3de96fb3484a62a787f8b25a49eaa71781f024d7,2017-06-07 12:17:57+10:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.11-SNAPSHOT,1,1,1
841c1a0dd4351a9a904148a82d73bfe3a9a8bd69,2017-06-08 21:16:13+10:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.11,1,1,1
4826ae7bc381d3d10abefdd1e23864020e548422,2017-08-15 17:21:15+02:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.12-SNAPSHOT,61,34,1
21662c03e39b3e673df2f17a9baa323da96a8454,2017-09-15 15:27:53+02:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.12-alpha-1,1,1,1
d466d45ca6bc5e02d733ed6033963fe6721cf036,2018-11-29 12:27:56+10:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.12,100,132,29
ec56e062211ed4419b67957b51bf4460b70172f6,2019-06-14 17:30:49+10:00,MODIFY,org.jenkins-ci.main.maven,maven3-agent,1.13,477,253,18
a98831fcea0e05c349f96ec5d07ee3ed7fb17b45,2013-07-21 21:19:36+10:00,MODIFY,org.jenkins-ci.main.maven,maven31-agent,1.4-SNAPSHOT,89,17,6
